M49 Code,iso3,Country,Intermediate Region Name,Sub-region Name,Region Name
4,AFG,Afghanistan,,Southern Asia,Asia
24,AGO,Angola,Middle Africa,Sub-Saharan Africa,Africa
8,ALB,Albania,,Southern Europe,Europe
784,ARE,United Arab Emirates,,Western Asia,Asia
32,ARG,Argentina,South America,Latin America and the Caribbean,Americas
51,ARM,Armenia,,Western Asia,Asia
28,ATG,Antigua and Barbuda,Caribbean,Latin America and the Caribbean,Americas
36,AUS,Australia,,Australia and New Zealand,Oceania
40,AUT,Austria,,Western Europe,Europe
31,AZE,Azerbaijan,,Western Asia,Asia
108,BDI,Burundi,Eastern Africa,Sub-Saharan Africa,Africa
56,BEL,Belgium,,Western Europe,Europe
204,BEN,Benin,Western Africa,Sub-Saharan Africa,Africa
854,BFA,Burkina Faso,Western Africa,Sub-Saharan Africa,Africa
50,BGD,Bangladesh,,Southern Asia,Asia
100,BGR,Bulgaria,,Eastern Europe,Europe
48,BHR,Bahrain,,Western Asia,Asia
44,BHS,Bahamas,Caribbean,Latin America and the Caribbean,Americas
70,BIH,Bosnia and Herzegovina,,Southern Europe,Europe
112,BLR,Belarus,,Eastern Europe,Europe
84,BLZ,Belize,Central America,Latin America and the Caribbean,Americas
68,BOL,Bolivia,South America,Latin America and the Caribbean,Americas
76,BRA,Brazil,South America,Latin America and the Caribbean,Americas
52,BRB,Barbados,Caribbean,Latin America and the Caribbean,Americas
96,BRN,Brunei,,South-eastern Asia,Asia
64,BTN,Bhutan,,Southern Asia,Asia
72,BWA,Botswana,Southern Africa,Sub-Saharan Africa,Africa
140,CAF,Central African Republic,Middle Africa,Sub-Saharan Africa,Africa
124,CAN,Canada,,Northern America,Americas
756,CHE,Switzerland,,Western Europe,Europe
152,CHL,Chile,South America,Latin America and the Caribbean,Americas
156,CHN,China,,Eastern Asia,Asia
384,CIV,Ivory Coast,Western Africa,Sub-Saharan Africa,Africa
120,CMR,Cameroon,Middle Africa,Sub-Saharan Africa,Africa
180,COD,"Congo, the Democratic Republic of the",Middle Africa,Sub-Saharan Africa,Africa
178,COG,Congo,Middle Africa,Sub-Saharan Africa,Africa
184,COK,Cook Islands,,Polynesia,Oceania
170,COL,Colombia,South America,Latin America and the Caribbean,Americas
174,COM,Comoros,Eastern Africa,Sub-Saharan Africa,Africa
132,CPV,Cape Verde,Western Africa,Sub-Saharan Africa,Africa
188,CRI,Costa Rica,Central America,Latin America and the Caribbean,Americas
192,CUB,Cuba,Caribbean,Latin America and the Caribbean,Americas
196,CYP,Cyprus,,Western Asia,Asia
203,CZE,Czech Republic,,Eastern Europe,Europe
276,DEU,Germany,,Western Europe,Europe
262,DJI,Djibouti,Eastern Africa,Sub-Saharan Africa,Africa
212,DMA,Dominica,Caribbean,Latin America and the Caribbean,Americas
208,DNK,Denmark,,Northern Europe,Europe
214,DOM,Dominican Republic,Caribbean,Latin America and the Caribbean,Americas
12,DZA,Algeria,,Northern Africa,Africa
218,ECU,Ecuador,South America,Latin America and the Caribbean,Americas
818,EGY,Egypt,,Northern Africa,Africa
232,ERI,Eritrea,Eastern Africa,Sub-Saharan Africa,Africa
724,ESP,Spain,,Southern Europe,Europe
233,EST,Estonia,,Northern Europe,Europe
231,ETH,Ethiopia,Eastern Africa,Sub-Saharan Africa,Africa
246,FIN,Finland,,Northern Europe,Europe
242,FJI,Fiji,,Melanesia,Oceania
250,FRA,France,,Western Europe,Europe
234,FRO,Faroe Islands,,Northern Europe,Europe
583,FSM,"Micronesia, Federated States of",,Micronesia,Oceania
266,GAB,Gabon,Middle Africa,Sub-Saharan Africa,Africa
826,GBR,United Kingdom,,Northern Europe,Europe
268,GEO,Georgia,,Western Asia,Asia
288,GHA,Ghana,Western Africa,Sub-Saharan Africa,Africa
324,GIN,Guinea,Western Africa,Sub-Saharan Africa,Africa
312,GLP,Guadeloupe,Caribbean,Latin America and the Caribbean,Americas
270,GMB,Gambia,Western Africa,Sub-Saharan Africa,Africa
624,GNB,Guinea-Bissau,Western Africa,Sub-Saharan Africa,Africa
226,GNQ,Equatorial Guinea,Middle Africa,Sub-Saharan Africa,Africa
300,GRC,Greece,,Southern Europe,Europe
308,GRD,Grenada,Caribbean,Latin America and the Caribbean,Americas
320,GTM,Guatemala,Central America,Latin America and the Caribbean,Americas
254,GUF,French Guiana,South America,Latin America and the Caribbean,Americas
328,GUY,Guyana,South America,Latin America and the Caribbean,Americas
344,HKG,Hong Kong,,Eastern Asia,Asia
340,HND,Honduras,Central America,Latin America and the Caribbean,Americas
191,HRV,Croatia,,Southern Europe,Europe
332,HTI,Haiti,Caribbean,Latin America and the Caribbean,Americas
348,HUN,Hungary,,Eastern Europe,Europe
360,IDN,Indonesia,,South-eastern Asia,Asia
356,IND,India,,Southern Asia,Asia
372,IRL,Ireland,,Northern Europe,Europe
364,IRN,"Iran, Islamic Republic of",,Southern Asia,Asia
368,IRQ,Iraq,,Western Asia,Asia
352,ISL,Iceland,,Northern Europe,Europe
376,ISR,Israel,,Western Asia,Asia
380,ITA,Italy,,Southern Europe,Europe
388,JAM,Jamaica,Caribbean,Latin America and the Caribbean,Americas
400,JOR,Jordan,,Western Asia,Asia
392,JPN,Japan,,Eastern Asia,Asia
398,KAZ,Kazakhstan,,Central Asia,Asia
404,KEN,Kenya,Eastern Africa,Sub-Saharan Africa,Africa
417,KGZ,Kyrgyzstan,,Central Asia,Asia
116,KHM,Cambodia,,South-eastern Asia,Asia
296,KIR,Kiribati,,Micronesia,Oceania
